city,pincode,district,state,country
Andugula Kothapalem,522647,Palnadu,ANDHRA PRADESH,india
Brahmanapalle,522647,Palnadu,ANDHRA PRADESH,india
Cheekateegalapalem,522647,Palnadu,ANDHRA PRADESH,india
Tellabadu,522647,Palnadu,ANDHRA PRADESH,india
Thimmayapalem,522647,Palnadu,ANDHRA PRADESH,india
Vupparapalem,522647,Palnadu,ANDHRA PRADESH,india
Challagariga,522409,Palnadu,ANDHRA PRADESH,india
NEELESWARAPALEM,522409,Palnadu,ANDHRA PRADESH,india
Chandrajupalem,522411,Palnadu,ANDHRA PRADESH,india
Emmajigudem,522411,Palnadu,ANDHRA PRADESH,india
Papayapalem,522411,Palnadu,ANDHRA PRADESH,india
Venkatayapalem,522411,Palnadu,ANDHRA PRADESH,india
China Garlapadu,522437,Palnadu,ANDHRA PRADESH,india
Chinaagraharam,522437,Palnadu,ANDHRA PRADESH,india
Karalapadu,522437,Palnadu,ANDHRA PRADESH,india
Gamalapadu,522414,Palnadu,ANDHRA PRADESH,india
Madinapadu,522414,Palnadu,ANDHRA PRADESH,india
Daida,522415,Palnadu,ANDHRA PRADESH,india
Gottimukkala,522415,Palnadu,ANDHRA PRADESH,india
Miriyala,522415,Palnadu,ANDHRA PRADESH,india
Pallegunta,522415,Palnadu,ANDHRA PRADESH,india
Pulipadu,522415,Palnadu,ANDHRA PRADESH,india
Dodleru,522410,Palnadu,ANDHRA PRADESH,india
Kastala,522410,Palnadu,ANDHRA PRADESH,india
Pakalapadu,522410,Palnadu,ANDHRA PRADESH,india
Pakalapadu,531118,VISAKHAPATANAM,ANDHRA PRADESH,india
GORANTLA,522410,Palnadu,ANDHRA PRADESH,india
Koppunuru,522426,Palnadu,ANDHRA PRADESH,india
Komerapudi,522438,Palnadu,ANDHRA PRADESH,india
Takkellapadu,522438,GUNTUR,ANDHRA PRADESH,india
Paludevarlapadu,522408,Palnadu,ANDHRA PRADESH,india
Rudravaram,522408,Palnadu,ANDHRA PRADESH,india
Jalalapuram,522436,Palnadu,ANDHRA PRADESH,india
Kambhampadu,522436,Palnadu,ANDHRA PRADESH,india
ABBARAJUPALEM,522436,Palnadu,ANDHRA PRADESH,india
Kattamuru,522402,Palnadu,ANDHRA PRADESH,india
Munugodu,522402,Palnadu,ANDHRA PRADESH,india
Patibandla,522402,Palnadu,ANDHRA PRADESH,india
Pedamakkena,522402,Palnadu,ANDHRA PRADESH,india
Panidem,522402,Palnadu,ANDHRA PRADESH,india
Kotanemalipuri,522413,Palnadu,ANDHRA PRADESH,india
Dhulipalla,522412,Palnadu,ANDHRA PRADESH,india
Nagavaram,522412,Palnadu,ANDHRA PRADESH,india
MALLAVARAM,522421,Palnadu,ANDHRA PRADESH,india
Paladugu,522401,GUNTUR,ANDHRA PRADESH,india
PODAPADU,522401,GUNTUR,ANDHRA PRADESH,india
Kothapullareddipuram,522613,Palnadu,ANDHRA PRADESH,india
Latchambhavi,522613,Palnadu,ANDHRA PRADESH,india
Mondidinnepalem,524203,SPSR NELLORE,ANDHRA PRADESH,india
Thummalapenta,524203,SPSR NELLORE,ANDHRA PRADESH,india
Gowravaram-B,524142,SPSR NELLORE,ANDHRA PRADESH,india
Ganeswarapuram,524221,SPSR NELLORE,ANDHRA PRADESH,india
Vellupodu,524240,SPSR NELLORE,ANDHRA PRADESH,india
Rachavaripalli,524222,SPSR NELLORE,ANDHRA PRADESH,india
Somalaregada,524222,SPSR NELLORE,ANDHRA PRADESH,india
Tsoudepalli,524236,SPSR NELLORE,ANDHRA PRADESH,india
Guvvadi,524236,SPSR NELLORE,ANDHRA PRADESH,india
Chalamcherla,524223,SPSR NELLORE,ANDHRA PRADESH,india
Dubagunta-K,524239,SPSR NELLORE,ANDHRA PRADESH,india
Nekunampeta,524239,SPSR NELLORE,ANDHRA PRADESH,india
Thoorpupalem,524239,SPSR NELLORE,ANDHRA PRADESH,india
Krishnapuram,524230,SPSR NELLORE,ANDHRA PRADESH,india
Yepilagunta,524230,SPSR NELLORE,ANDHRA PRADESH,india
Chinna Nagampalli,524310,SPSR NELLORE,ANDHRA PRADESH,india
Gudladona,524225,SPSR NELLORE,ANDHRA PRADESH,india
Jaladevi,524227,SPSR NELLORE,ANDHRA PRADESH,india
Thimmareddypalli,524227,SPSR NELLORE,ANDHRA PRADESH,india
Gundemadakala,524228,SPSR NELLORE,ANDHRA PRADESH,india
Utukur-VJ,524228,SPSR NELLORE,ANDHRA PRADESH,india
Dubagunta,523109,PRAKASAM,ANDHRA PRADESH,india
North Amaluru,524315,SPSR NELLORE,ANDHRA PRADESH,india
Talamanchi,524315,SPSR NELLORE,ANDHRA PRADESH,india
Gowravaram-A,524302,SPSR NELLORE,ANDHRA PRADESH,india
Mangupalli,524302,SPSR NELLORE,ANDHRA PRADESH,india
Ponguru,524302,SPSR NELLORE,ANDHRA PRADESH,india
Buja Buja Nellore,524004,SPSR NELLORE,ANDHRA PRADESH,india
Pottepalem,524004,SPSR NELLORE,ANDHRA PRADESH,india
Venkataraopalli,524322,SPSR NELLORE,ANDHRA PRADESH,india
Penubarthi,524346,SPSR NELLORE,ANDHRA PRADESH,india
Kattubadipalem,524305,SPSR NELLORE,ANDHRA PRADESH,india
Bhaktavatsalanagar,524003,SPSR NELLORE,ANDHRA PRADESH,india
Gundlapalem,524003,SPSR NELLORE,ANDHRA PRADESH,india
Kanuparthipadu,524003,SPSR NELLORE,ANDHRA PRADESH,india
Vangallu,524306,SPSR NELLORE,ANDHRA PRADESH,india
Kakarlapadu,524234,SPSR NELLORE,ANDHRA PRADESH,india
Pathanapuram,524234,SPSR NELLORE,ANDHRA PRADESH,india
Narayanareddypeta,524314,SPSR NELLORE,ANDHRA PRADESH,india
Basavarajupalem,524307,SPSR NELLORE,ANDHRA PRADESH,india
Ramaswamypalli,524307,SPSR NELLORE,ANDHRA PRADESH,india
Vennavada,524307,SPSR NELLORE,ANDHRA PRADESH,india
Padmanabhasatram,524316,SPSR NELLORE,ANDHRA PRADESH,india
Cherlopalem,524137,SPSR NELLORE,ANDHRA PRADESH,india
Leguntapadu,524137,SPSR NELLORE,ANDHRA PRADESH,india
Vegur,524137,SPSR NELLORE,ANDHRA PRADESH,india
Tikkavaram,524312,SPSR NELLORE,ANDHRA PRADESH,india
Bheemavaram,524312,SPSR NELLORE,ANDHRA PRADESH,india
Irlapadu,524312,SPSR NELLORE,ANDHRA PRADESH,india
Vallur,524344,SPSR NELLORE,ANDHRA PRADESH,india
Narasapuram,524313,SPSR NELLORE,ANDHRA PRADESH,india
Nidi Musali,524313,SPSR NELLORE,ANDHRA PRADESH,india
Korimerla,524308,SPSR NELLORE,ANDHRA PRADESH,india
Srikolanu,524308,SPSR NELLORE,ANDHRA PRADESH,india
Chinacherukuru,524002,SPSR NELLORE,ANDHRA PRADESH,india
Dampur,524318,SPSR NELLORE,ANDHRA PRADESH,india
Parlapalli,524318,SPSR NELLORE,ANDHRA PRADESH,india
Utukur-VD,524318,SPSR NELLORE,ANDHRA PRADESH,india
Inagallu,523171,Bapatla,ANDHRA PRADESH,india
Timmarajupalem,523171,Bapatla,ANDHRA PRADESH,india
Naidu Vari Palem,523167,Bapatla,ANDHRA PRADESH,india
Gandhinagar,523165,Bapatla,ANDHRA PRADESH,india
Chinagumpalle,523181,Bapatla,ANDHRA PRADESH,india
Nuthalapadu,523169,Bapatla,ANDHRA PRADESH,india
Pothukatla,523169,Bapatla,ANDHRA PRADESH,india
Budavada,523169,Bapatla,ANDHRA PRADESH,india
Yerramvaripalem,523169,Bapatla,ANDHRA PRADESH,india
Ramanayyapalem,523169,Bapatla,ANDHRA PRADESH,india
Burlavaripalem,523157,Bapatla,ANDHRA PRADESH,india
Kurthula,523157,Bapatla,ANDHRA PRADESH,india
Audipudi,523170,Bapatla,ANDHRA PRADESH,india
Chimidithapadu,523281,PRAKASAM,ANDHRA PRADESH,india
Jallapalem,523271,PRAKASAM,ANDHRA PRADESH,india
Tangella,523271,PRAKASAM,ANDHRA PRADESH,india
Uppaledinne,523271,PRAKASAM,ANDHRA PRADESH,india
Ramayyapalem,523270,PRAKASAM,ANDHRA PRADESH,india
Cherukur,523109,PRAKASAM,ANDHRA PRADESH,india
Malepadu,523109,PRAKASAM,ANDHRA PRADESH,india
Edlurapadu,523109,PRAKASAM,ANDHRA PRADESH,india
Ravuru,523291,PRAKASAM,ANDHRA PRADESH,india
Kalikavayabitragunta,523101,PRAKASAM,ANDHRA PRADESH,india
Ananandapuram,523101,PRAKASAM,ANDHRA PRADESH,india
Devagudur,523274,PRAKASAM,ANDHRA PRADESH,india
Kakuturivaripalem,523274,PRAKASAM,ANDHRA PRADESH,india
Chagallu,523292,PRAKASAM,ANDHRA PRADESH,india
Karedu,523292,PRAKASAM,ANDHRA PRADESH,india
Krishnapuram,523292,PRAKASAM,ANDHRA PRADESH,india
Mannetikota,523292,PRAKASAM,ANDHRA PRADESH,india
M.Nidamanur,523279,PRAKASAM,ANDHRA PRADESH,india
Vennuru,523279,PRAKASAM,ANDHRA PRADESH,india
Kondasamudram,523116,PRAKASAM,ANDHRA PRADESH,india
Polinenicheruvu,523116,PRAKASAM,ANDHRA PRADESH,india
Konizedu,523272,PRAKASAM,ANDHRA PRADESH,india
Mallavarappadu,523272,PRAKASAM,ANDHRA PRADESH,india
Marlapadu,523272,PRAKASAM,ANDHRA PRADESH,india
Savireddi Palem,523272,PRAKASAM,ANDHRA PRADESH,india
Guntupalli,523110,PRAKASAM,ANDHRA PRADESH,india
Lakshminarasapuram,523110,PRAKASAM,ANDHRA PRADESH,india
Arivemula,523112,PRAKASAM,ANDHRA PRADESH,india
Thurupuchavatapalem,523247,PRAKASAM,ANDHRA PRADESH,india
Perareddipalli,523246,PRAKASAM,ANDHRA PRADESH,india
Batchalakurapadu,523246,PRAKASAM,ANDHRA PRADESH,india
Nagampalli,523246,PRAKASAM,ANDHRA PRADESH,india
Naidupet,523246,PRAKASAM,ANDHRA PRADESH,india
Seetharampuram,523227,PRAKASAM,ANDHRA PRADESH,india
Nagarajukunta,523241,PRAKASAM,ANDHRA PRADESH,india
Siddavaram,523241,PRAKASAM,ANDHRA PRADESH,india
Vaddimadugu,523241,PRAKASAM,ANDHRA PRADESH,india
Veligandla,523241,PRAKASAM,ANDHRA PRADESH,india
Nayudupalem,504215,PRAKASAM,ANDHRA PRADESH,india
Alavalapadu,523304,PRAKASAM,ANDHRA PRADESH,india
Bandiveli Gandla,523304,PRAKASAM,ANDHRA PRADESH,india
Kalluru,523304,PRAKASAM,ANDHRA PRADESH,india
Namasivayapuram,523304,PRAKASAM,ANDHRA PRADESH,india
West Veerayapalem,523304,PRAKASAM,ANDHRA PRADESH,india
Ballavaram,523223,PRAKASAM,ANDHRA PRADESH,india
Gollaplli,523223,PRAKASAM,ANDHRA PRADESH,india
Pasupugallu,523265,PRAKASAM,ANDHRA PRADESH,india
Neredupalli,523111,PRAKASAM,ANDHRA PRADESH,india
Talluru,523111,PRAKASAM,ANDHRA PRADESH,india
Dubagunta,523108,PRAKASAM,ANDHRA PRADESH,india
Naddimallapuram,523108,PRAKASAM,ANDHRA PRADESH,india
Gundlasamudram,523253,PRAKASAM,ANDHRA PRADESH,india
Ramulaveedu,523247,PRAKASAM,ANDHRA PRADESH,india
Madalavaripalem,523245,PRAKASAM,ANDHRA PRADESH,india
Bellamkondavaripalem,523252,PRAKASAM,ANDHRA PRADESH,india
East Veerayapalem,523252,PRAKASAM,ANDHRA PRADESH,india
Annavaram,523253,PRAKASAM,ANDHRA PRADESH,india
Chimata,523253,PRAKASAM,ANDHRA PRADESH,india
Kakarla,523253,PRAKASAM,ANDHRA PRADESH,india
Panduvanagulavaram,523224,PRAKASAM,ANDHRA PRADESH,india
Purimetla,523265,PRAKASAM,ANDHRA PRADESH,india
Velamuripadu,506003,Bapatla,ANDHRA PRADESH,india
Vemparala,523201,Bapatla,ANDHRA PRADESH,india
Kalavakur,523201,Bapatla,ANDHRA PRADESH,india
Kotikalapudi,523201,Bapatla,ANDHRA PRADESH,india
Mailavaram,523201,Bapatla,ANDHRA PRADESH,india
Chinaravipadu,523226,PRAKASAM,ANDHRA PRADESH,india
Rajupalem,523280,PRAKASAM,ANDHRA PRADESH,india
Dasarajupalli,523182,PRAKASAM,ANDHRA PRADESH,india
Chennupalli,523303,Bapatla,ANDHRA PRADESH,india
Elchuru,523303,Bapatla,ANDHRA PRADESH,india
Pitchikalagudipadu,523212,Bapatla,ANDHRA PRADESH,india
Nelaturu,523211,PRAKASAM,ANDHRA PRADESH,india
Guntupalli,523301,Bapatla,ANDHRA PRADESH,india
Uppumagulur,523301,Bapatla,ANDHRA PRADESH,india
Rajugaripalem,523301,Bapatla,ANDHRA PRADESH,india
Kondamuru,523261,Bapatla,ANDHRA PRADESH,india
Prasangulapadu,523183,Bapatla,ANDHRA PRADESH,india
Vellalacheruvu,523302,Bapatla,ANDHRA PRADESH,india
Gummalampadu,523225,PRAKASAM,ANDHRA PRADESH,india
Mainampadu,523225,PRAKASAM,ANDHRA PRADESH,india
Y.Laxmipuram,523225,PRAKASAM,ANDHRA PRADESH,india
Eastgangavaram,523264,PRAKASAM,ANDHRA PRADESH,india
Korrapativaripalem,523264,PRAKASAM,ANDHRA PRADESH,india
Madhavaram,523264,PRAKASAM,ANDHRA PRADESH,india
Dhenuvakonda,523263,Bapatla,ANDHRA PRADESH,india
Nekunambadu,523263,PRAKASAM,ANDHRA PRADESH,india
Manduvavaripalem,523262,PRAKASAM,ANDHRA PRADESH,india
Chimmiribanda,523260,Bapatla,ANDHRA PRADESH,india
Konanki,523260,Bapatla,ANDHRA PRADESH,india
Pedjangalapalli,523260,Bapatla,ANDHRA PRADESH,india
Dharmavaram,523260,Bapatla,ANDHRA PRADESH,india
Ramannapalem,534313,WEST GODAVARI,ANDHRA PRADESH,india
Yarnagudem,534313,WEST GODAVARI,ANDHRA PRADESH,india
Dhumantunigudem,534313,WEST GODAVARI,ANDHRA PRADESH,india
Hukumpeta,534318,WEST GODAVARI,ANDHRA PRADESH,india
Karagapadu,534318,WEST GODAVARI,ANDHRA PRADESH,india
Chityala,534316,WEST GODAVARI,ANDHRA PRADESH,india
V.Ch.Gudem,534316,WEST GODAVARI,ANDHRA PRADESH,india
KOMATIKUNTA,534316,WEST GODAVARI,ANDHRA PRADESH,india
Usulumarru,534329,WEST GODAVARI,ANDHRA PRADESH,india
Kaldhari,534329,WEST GODAVARI,ANDHRA PRADESH,india
Brahmanagudem,534301,WEST GODAVARI,ANDHRA PRADESH,india
Timmarajupalem,534301,WEST GODAVARI,ANDHRA PRADESH,india
Bodigudem,534315,WEST GODAVARI,ANDHRA PRADESH,india
Kotha Pattisam,534341,WEST GODAVARI,ANDHRA PRADESH,india
Vakapalli,534196,WEST GODAVARI,ANDHRA PRADESH,india
Surya Rao Palem,534156,WEST GODAVARI,ANDHRA PRADESH,india
Adavikolanu,534198,Eluru,ANDHRA PRADESH,india
Bhuvanapalli,534198,Eluru,ANDHRA PRADESH,india
Krovvidi,534198,Eluru,ANDHRA PRADESH,india
Dandagarra,534145,WEST GODAVARI,ANDHRA PRADESH,india
Pullayagudem,534145,WEST GODAVARI,ANDHRA PRADESH,india
Marellamudi,534112,WEST GODAVARI,ANDHRA PRADESH,india
Jajulakunta,534112,WEST GODAVARI,ANDHRA PRADESH,india
Valluru,534197,Eluru,ANDHRA PRADESH,india
Nabipeta,534176,WEST GODAVARI,ANDHRA PRADESH,india
Pothineedipalem,534176,WEST GODAVARI,ANDHRA PRADESH,india
Kavuluru,534176,WEST GODAVARI,ANDHRA PRADESH,india
Arugolanu,534146,WEST GODAVARI,ANDHRA PRADESH,india
Konala,534146,WEST GODAVARI,ANDHRA PRADESH,india
Krishnayampalemi,534146,WEST GODAVARI,ANDHRA PRADESH,india
Marampalli,534146,WEST GODAVARI,ANDHRA PRADESH,india
Tadepalli,534102,WEST GODAVARI,ANDHRA PRADESH,india
Kagupadu,534411,WEST GODAVARI,ANDHRA PRADESH,india
Mounjipadu,534165,WEST GODAVARI,ANDHRA PRADESH,india
Mypa,534186,WEST GODAVARI,ANDHRA PRADESH,india
Vundurru,534186,WEST GODAVARI,ANDHRA PRADESH,india
Gudipudiagraharam,522310,Bapatla,ANDHRA PRADESH,india
Maruproluvaripalem,522102,Bapatla,ANDHRA PRADESH,india
Nandirajuthota,522102,Bapatla,ANDHRA PRADESH,india
Koduru komali,522311,Bapatla,ANDHRA PRADESH,india
Pathareddypalem,522212,GUNTUR,ANDHRA PRADESH,india
Kothapalli narikellapalli,522212,Bapatla,ANDHRA PRADESH,india
Lingamguntlapalem,522212,GUNTUR,ANDHRA PRADESH,india
Manchala,522212,GUNTUR,ANDHRA PRADESH,india
Mutluru,522212,GUNTUR,ANDHRA PRADESH,india
Kavuru,522309,Bapatla,ANDHRA PRADESH,india
Arumbaka,522309,Bapatla,ANDHRA PRADESH,india
Jillellamudi,522113,Bapatla,ANDHRA PRADESH,india
Narasayapalem,522113,Bapatla,ANDHRA PRADESH,india
Reteru,522113,GUNTUR,ANDHRA PRADESH,india
Chinkapalem,522262,Bapatla,ANDHRA PRADESH,india
Adavuladivi,522262,Bapatla,ANDHRA PRADESH,india
Dindi,522262,Bapatla,ANDHRA PRADESH,india
Mulukuduru,522315,GUNTUR,ANDHRA PRADESH,india
Pudivada,522268,Bapatla,ANDHRA PRADESH,india
Yeletipalem,522268,Bapatla,ANDHRA PRADESH,india
Amudalapalli,522314,Bapatla,ANDHRA PRADESH,india
Doppalapudi,522316,GUNTUR,ANDHRA PRADESH,india
Mannava,522316,GUNTUR,ANDHRA PRADESH,india
Kollimarla,522316,GUNTUR,ANDHRA PRADESH,india
Manthenavaripalem,522329,Bapatla,ANDHRA PRADESH,india
Murukondapadu,522317,Bapatla,ANDHRA PRADESH,india
Mamillapalli,522318,GUNTUR,ANDHRA PRADESH,india
Burripalem,522301,GUNTUR,ANDHRA PRADESH,india
Hanumanpalem,522301,GUNTUR,ANDHRA PRADESH,india
Penumarru,522256,Bapatla,ANDHRA PRADESH,india
Vaddevaripalem,522264,Bapatla,ANDHRA PRADESH,india
Morampudi,522330,GUNTUR,ANDHRA PRADESH,india
Manchikalapudi,522330,GUNTUR,ANDHRA PRADESH,india
Chivaluru,522304,GUNTUR,ANDHRA PRADESH,india
Munnangi,522304,GUNTUR,ANDHRA PRADESH,india
Boddulurupadu,522324,Bapatla,ANDHRA PRADESH,india
Gajullanka,522324,Bapatla,ANDHRA PRADESH,india
Chinaparimi,522313,Bapatla,ANDHRA PRADESH,india
Yadavuru,522313,Bapatla,ANDHRA PRADESH,india
Kancherlapalem,522202,GUNTUR,ANDHRA PRADESH,india
Yerukalapudi,522306,GUNTUR,ANDHRA PRADESH,india
Murthota,522265,Bapatla,ANDHRA PRADESH,india
Sajjavaripalem,522265,Bapatla,ANDHRA PRADESH,india
Vadlamudi,522213,GUNTUR,ANDHRA PRADESH,india
Champadu,522261,Bapatla,ANDHRA PRADESH,india
Peravali,522261,Bapatla,ANDHRA PRADESH,india
Varahapuram Agraharam,522261,Bapatla,ANDHRA PRADESH,india
Vasanthanagar,520007,NTR,ANDHRA PRADESH,india
Enikepadu,521108,NTR,ANDHRA PRADESH,india
Kotha Edara,521211,Eluru,ANDHRA PRADESH,india
Wambay Colony,520015,NTR,ANDHRA PRADESH,india
Vibharintapadu,521182,NTR,ANDHRA PRADESH,india
Bobbellapadu,521182,NTR,ANDHRA PRADESH,india
Pokkunuru,521182,NTR,ANDHRA PRADESH,india
Cheruvu Madhavaram,521229,NTR,ANDHRA PRADESH,india
Velagaleru,521229,NTR,ANDHRA PRADESH,india
Azzampudi,521101,KRISHNA,ANDHRA PRADESH,india
Budhavaram,521101,KRISHNA,ANDHRA PRADESH,india
Jami Annavaram,521175,NTR,ANDHRA PRADESH,india
Srinivasa Nagar Colony,521175,NTR,ANDHRA PRADESH,india
Takkellapadu,521175,NTR,ANDHRA PRADESH,india
Narasimharaopalem,521181,NTR,ANDHRA PRADESH,india
Jammavaram,521180,NTR,ANDHRA PRADESH,india
Hanumanthapuram,521246,KRISHNA,ANDHRA PRADESH,india
Kadavakollu,521164,KRISHNA,ANDHRA PRADESH,india
Chavutapalli,521227,NTR,ANDHRA PRADESH,india
Rudravaram,521227,NTR,ANDHRA PRADESH,india
Gurazada,521256,KRISHNA,ANDHRA PRADESH,india
Velpuru,521256,KRISHNA,ANDHRA PRADESH,india
Chintalapadu,521183,NTR,ANDHRA PRADESH,india
Koduru,521230,NTR,ANDHRA PRADESH,india
Velvdam,521230,NTR,ANDHRA PRADESH,india
Munagacherla,521185,NTR,ANDHRA PRADESH,india
Vemulapalli,521185,NTR,ANDHRA PRADESH,india
Pallagiri,521184,NTR,ANDHRA PRADESH,india
Raghavapuram,521184,NTR,ANDHRA PRADESH,india
Ramireddipalli,521184,NTR,ANDHRA PRADESH,india
Torragudipadu,521184,NTR,ANDHRA PRADESH,india
Lingagudem,521190,NTR,ANDHRA PRADESH,india
Kannevidu,521190,NTR,ANDHRA PRADESH,india
Muchintala,521190,NTR,ANDHRA PRADESH,india
Machinenipalem,521402,NTR,ANDHRA PRADESH,india
Pentalavarigudem,521402,NTR,ANDHRA PRADESH,india
Doddadevarapadu,521170,NTR,ANDHRA PRADESH,india
Agniparru,521250,KRISHNA,ANDHRA PRADESH,india
Guthulavaripalem,533217,Konaseema,ANDHRA PRADESH,india
Isukapudi,533214,Konaseema,ANDHRA PRADESH,india
Munganda,533214,Konaseema,ANDHRA PRADESH,india
Sannavilli,533222,Konaseema,ANDHRA PRADESH,india
Gangalakurru Agraharam,533221,Konaseema,ANDHRA PRADESH,india
Vodalarevu,533210,Konaseema,ANDHRA PRADESH,india
Battucheruvu,533212,Konaseema,ANDHRA PRADESH,india
Uppudi,533212,Konaseema,ANDHRA PRADESH,india
Chirrayanam,533212,Konaseema,ANDHRA PRADESH,india
Kesanakurru,533220,Konaseema,ANDHRA PRADESH,india
Tillakuppa,533220,Konaseema,ANDHRA PRADESH,india
Komaragiri,533220,Konaseema,ANDHRA PRADESH,india
Kamujuvarilanka,533241,Konaseema,ANDHRA PRADESH,india
Nedunuru,533241,Konaseema,ANDHRA PRADESH,india
Ainavalli,533211,Konaseema,ANDHRA PRADESH,india
Sanapallilanka,533211,Konaseema,ANDHRA PRADESH,india
Kothalanka,533216,Konaseema,ANDHRA PRADESH,india
Krapa Chintalapudi,533216,Konaseema,ANDHRA PRADESH,india
Annampalli,533216,Konaseema,ANDHRA PRADESH,india
Gopavaram,533213,Konaseema,ANDHRA PRADESH,india
Kamanagaruvu,533213,Konaseema,ANDHRA PRADESH,india
Saripalli,533213,Konaseema,ANDHRA PRADESH,india
Surasani Yanam,533213,Konaseema,ANDHRA PRADESH,india
Magam,533577,Konaseema,ANDHRA PRADESH,india
Peravaram,533235,Konaseema,ANDHRA PRADESH,india
Vadapalem,533223,Konaseema,ANDHRA PRADESH,india
Sankaraguptam,533250,Konaseema,ANDHRA PRADESH,india
Adurru,533247,Konaseema,ANDHRA PRADESH,india
Idarada,533247,Konaseema,ANDHRA PRADESH,india
Chirata Pudi,533229,EAST GODAVARI,ANDHRA PRADESH,india
Vegivaripalem,533248,Konaseema,ANDHRA PRADESH,india
Karavaka,533248,Konaseema,ANDHRA PRADESH,india
Gondi,533251,Konaseema,ANDHRA PRADESH,india
Sakhinetipalli Lanka,533251,Konaseema,ANDHRA PRADESH,india
Gudapalli pallipalem,533244,EAST GODAVARI,ANDHRA PRADESH,india
Palagummi,533249,Konaseema,ANDHRA PRADESH,india
Manepalli,533249,Konaseema,ANDHRA PRADESH,india
Billakurru,533228,Konaseema,ANDHRA PRADESH,india
A Kothapalle,531022,Anakapalli,ANDHRA PRADESH,india
Gavarapalem,531022,Anakapalli,ANDHRA PRADESH,india
Baski,531149,VISAKHAPATANAM,ANDHRA PRADESH,india
Bondam,531149,VISAKHAPATANAM,ANDHRA PRADESH,india
Guntagannela,531151,VISAKHAPATANAM,ANDHRA PRADESH,india
Kandrum,531151,VISAKHAPATANAM,ANDHRA PRADESH,india
Layaganda,531151,VISAKHAPATANAM,ANDHRA PRADESH,india
Rangaseela,531151,VISAKHAPATANAM,ANDHRA PRADESH,india
Yangada,531151,VIZIANAGARAM,ANDHRA PRADESH,india
Dibbapalem SEZ R.H Colony,531011,Anakapalli,ANDHRA PRADESH,india
Pudimadaka,531011,Anakapalli,ANDHRA PRADESH,india
Arjunagiri,531036,Anakapalli,ANDHRA PRADESH,india
Kandipudi,531036,Anakapalli,ANDHRA PRADESH,india
Pedagogada,531036,Anakapalli,ANDHRA PRADESH,india
Bennavolu,531036,Anakapalli,ANDHRA PRADESH,india
Pedakota,531030,Alluri Sitharama Raju,ANDHRA PRADESH,india
Zeenabadu,531030,Alluri Sitharama Raju,ANDHRA PRADESH,india
Garisingi,531030,Anakapalli,ANDHRA PRADESH,india
Chintalapudi,531030,Anakapalli,ANDHRA PRADESH,india
Poderti,531030,Anakapalli,ANDHRA PRADESH,india
Patipalle,531030,Anakapalli,ANDHRA PRADESH,india
Dharapalem,531061,Anakapalli,ANDHRA PRADESH,india
Haripuram,531061,Anakapalli,ANDHRA PRADESH,india
Kothuru,531061,Anakapalli,ANDHRA PRADESH,india
Duddupalem,531023,Anakapalli,ANDHRA PRADESH,india
Valluru,531019,Anakapalli,ANDHRA PRADESH,india
Gullepalle,531034,Anakapalli,ANDHRA PRADESH,india
Medicherla,531034,Anakapalli,ANDHRA PRADESH,india
Bayyavaram,531031,VISAKHAPATANAM,ANDHRA PRADESH,india
Gavaravaram,531075,Anakapalli,ANDHRA PRADESH,india
Vadrapalle,531033,Anakapalli,ANDHRA PRADESH,india
Chinadoddigallu,531081,VISAKHAPATANAM,ANDHRA PRADESH,india
Vempadu,531081,VISAKHAPATANAM,ANDHRA PRADESH,india
Batlapudi,531002,VISAKHAPATANAM,ANDHRA PRADESH,india
Kondupalem,531002,VISAKHAPATANAM,ANDHRA PRADESH,india
Thotada,531002,VISAKHAPATANAM,ANDHRA PRADESH,india
Bharnikam,531021,Anakapalli,ANDHRA PRADESH,india
Donkada,531126,Anakapalli,ANDHRA PRADESH,india
Gullipadu,531126,Anakapalli,ANDHRA PRADESH,india
Guntapalle,531126,Anakapalli,ANDHRA PRADESH,india
Uddandapuram,531126,Anakapalli,ANDHRA PRADESH,india
Aripaka,531035,VISAKHAPATANAM,ANDHRA PRADESH,india
Asakapalle,531035,VISAKHAPATANAM,ANDHRA PRADESH,india
Gollalapalem,531035,VISAKHAPATANAM,ANDHRA PRADESH,india
Gullepalli,531035,VISAKHAPATANAM,ANDHRA PRADESH,india
Mallunaidupalem,531035,VISAKHAPATANAM,ANDHRA PRADESH,india
Papayya Santhapalem,531032,Anakapalli,ANDHRA PRADESH,india
Uderoo,531032,Anakapalli,ANDHRA PRADESH,india
Venkupalem,531032,Anakapalli,ANDHRA PRADESH,india
Ganaparthi,531055,Anakapalli,ANDHRA PRADESH,india
Janguluru,531055,Anakapalli,ANDHRA PRADESH,india
Narasingabilli,531055,Anakapalli,ANDHRA PRADESH,india
Pulaparthi,531055,Anakapalli,ANDHRA PRADESH,india
Vemagiri,531055,Anakapalli,ANDHRA PRADESH,india
Bennavaram,531111,Alluri Sitharama Raju,ANDHRA PRADESH,india
Damanapalli,531111,Alluri Sitharama Raju,ANDHRA PRADESH,india
Jerrala,531111,Alluri Sitharama Raju,ANDHRA PRADESH,india
Kothapalem,531111,Alluri Sitharama Raju,ANDHRA PRADESH,india
Mondigedda,531111,Alluri Sitharama Raju,ANDHRA PRADESH,india
Yerrabommalu,531111,Alluri Sitharama Raju,ANDHRA PRADESH,india
Bhimavaram,531082,VISAKHAPATANAM,ANDHRA PRADESH,india
